"property_id","address","city","state","zip","price","beds","baths","sqft","listing_url","description","source"
"local-75071-3","1500 Eldorado Pkwy","McKinney","TX","75071","510000","4","3","2480","","Open kitchen with breakfast bar.","local_dataset"
"local-75071-4","5800 N Lake Forest Dr","McKinney","TX","75071","545000","4","3","2630","","Energy-efficient with solar-ready conduit.","local_dataset"
"local-75071-5","2800 Custer Rd","McKinney","TX","75071","520000","3","2","2320","","Single-story with private study.","local_dataset"
"local-75071-6","3400 Virginia Pkwy","McKinney","TX","75071","558000","4","3","2680","","Community splash pad and sports courts.","local_dataset"
"local-75071-7","7200 Collin McKinney Pkwy","McKinney","TX","75071","575000","5","3","2900","","Media room with tiered seating.","local_dataset"
"local-75071-8","1900 Bloomdale Rd","McKinney","TX","75071","498000","3","2","2150","","Large fenced backyard with pergola.","local_dataset"
"local-75071-9","4100 Wilmeth Rd","McKinney","TX","75071","540000","4","3","2580","","Water softener and reverse osmosis.","local_dataset"
"local-75071-10","6600 Ridge Rd","McKinney","TX","75071","562000","4","3","2720","","Three-car garage with epoxy floors.","local_dataset"
"local-75071-11","2200 S Lake Forest Dr","McKinney","TX","75071","515000","4","2","2390","","Open dining with butler's pantry.","local_dataset"
"local-75071-12","900 W McKinney Pkwy","McKinney","TX","75071","530000","4","3","2500","","Bright windows throughout main level.","local_dataset"
"local-75013-1","1400 Exchange Pkwy","Allen","TX","75013","495000","4","2","2300","","Excellent Allen ISD schools.","local_dataset"
"local-75013-2","900 Bethany Dr","Allen","TX","75013","475000","3","2","2050","","Split bedrooms and oversized garage.","local_dataset"
"local-75013-3","3100 Ridgemont Dr","Allen","TX","75013","520000","4","3","2600","","Game room and covered patio.","local_dataset"
"local-75013-4","2000 Century Pkwy","Allen","TX","75013","505000","4","3","2420","","Open layout with island kitchen.","local_dataset"
"local-75013-5","4300 McDermott Rd","Allen","TX","75013","485000","3","2","2180","","Updated bathrooms with tile showers.","local_dataset"
"local-75013-6","1600 Greenville Ave","Allen","TX","75013","530000","4","3","2550","","Community sidewalks and green spaces.","local_dataset"
"local-75013-7","750 E Main St","Allen","TX","75013","468000","3","2","2020","","Near downtown Allen events and dining.","local_dataset"
"local-75013-8","5100 Chaparral Rd","Allen","TX","75013","510000","4","3","2480","","Formal dining and study off entry.","local_dataset"
"local-75013-9","2700 W McDermott Dr","Allen","TX","75013","492000","3","2","2200","","New roof and gutters in 2024.","local_dataset"
"local-75013-10","3800 Alma Dr","Allen","TX","75013","525000","4","3","2520","","Covered back porch with ceiling fan.","local_dataset"
"local-75013-11","1100 Stacy Rd","Allen","TX","75013","478000","3","2","2090","","Quiet street near Reid Farm park.","local_dataset"
"local-75013-12","4700 Watters Rd","Allen","TX","75013","542000","4","3","2620","","Large master with dual vanities.","local_dataset"
"local-75002-1","300 E Main St","Allen","TX","75002","460000","3","2","2000","","Close to downtown Allen.","local_dataset"
"local-75002-2","1800 Jupiter Rd","Allen","TX","75002","480000","4","2","2200","","New roof and HVAC.","local_dataset"
"local-75002-3","2400 Buckingham Rd","Allen","TX","75002","472000","3","2","2080","","Large fenced yard with storage shed.","local_dataset"
"local-75002-4","600 N Greenville Ave","Allen","TX","75002","488000","4","2","2220","","Open floor plan with fireplace.","local_dataset"
"local-75002-5","3500 Rowlett Rd","Allen","TX","75002","462000","3","2","1980","","Established neighborhood near parks.","local_dataset"
"local-75002-6","1300 N Watters Rd","Allen","TX","75002","495000","4","3","2380","","Pool and spa on extended lot.","local_dataset"
"local-75002-7","900 Bethany Bend","Allen","TX","75002","474000","3","2","2040","","Move-in ready with fresh paint.","local_dataset"
"local-75002-8","4200 Hedgcoxe Rd","Allen","TX","75002","510000","4","3","2450","","Granite countertops and wood floors.","local_dataset"
"local-75002-9","700 Angel Pkwy","Allen","TX","75002","466000","3","2","1990","","Single-story near Spring Creek trail.","local_dataset"
"local-75002-10","2100 Country Brook","Allen","TX","75002","483000","4","2","2210","","Covered patio and privacy fence.","local_dataset"
"local-76092-1","1200 E Southlake Blvd","Southlake","TX","76092","850000","5","4","3800","","Executive home with designer finishes.","local_dataset"
"local-76092-2","600 N Carroll Ave","Southlake","TX","76092","925000","5","4","4200","","Stunning estate near Town Square.","local_dataset"
"local-76092-3","2400 Florence Rd","Southlake","TX","76092","780000","4","3","3500","","Pool and outdoor kitchen.","local_dataset"
"local-76092-4","400 S White Chapel Blvd","Southlake","TX","76092","940000","5","5","4400","","Chef's kitchen and wine cellar.","local_dataset"
"local-76092-5","1800 Randol Mill Ave","Southlake","TX","76092","870000","5","4","3950","","Formal study and media room.","local_dataset"
"local-76092-6","3200 Ridgecrest Dr","Southlake","TX","76092","820000","4","4","3700","","Backs to golf course with views.","local_dataset"
"local-76092-7","700 Byron Nelson Pkwy","Southlake","TX","76092","895000","5","4","4100","","Three-car garage with storage loft.","local_dataset"
"local-76092-8","500 N Peytonville Ave","Southlake","TX","76092","855000","5","4","3850","","Large lot in gated enclave.","local_dataset"
"local-76092-9","2900 Dove Rd","Southlake","TX","76092","910000","5","5","4300","","Heated pool and outdoor fireplace.","local_dataset"
"local-76092-10","1500 Estes Park Dr","Southlake","TX","76092","798000","4","3","3600","","Custom iron front door and windows.","local_dataset"
"local-76092-11","4100 Kingswood Dr","Southlake","TX","76092","942000","5","5","4500","","Home theater and game room.","local_dataset"
"local-76092-12","800 Trophy Club Dr","Southlake","TX","76092","818000","4","4","3750","","Near Bicentennial Park and trails.","local_dataset"
"local-75022-1","3800 Long Prairie Rd","Flower Mound","TX","75022","590000","4","3","2850","","Hill Country views with award-winning LISD.","local_dataset"
"local-75022-2","1500 Cross Timbers Rd","Flower Mound","TX","75022","545000","4","2","2600","","Open concept and soaring ceilings.","local_dataset"
"local-75022-3","700 Morris Rd","Flower Mound","TX","75022","625000","4","3","3000","","Pool and spa with outdoor living.","local_dataset"
"local-75022-4","2600 Morriss Rd","Flower Mound","TX","75022","572000","4","3","2720","","Updated kitchen and master bath.","local_dataset"
"local-75022-5","4500 Spinks Rd","Flower Mound","TX","75022","610000","5","3","2950","","Media room and large game room.","local_dataset"
"local-75022-6","1100 Timber Creek Rd","Flower Mound","TX","75022","555000","4","3","2680","","Backs to creek with wooded views.","local_dataset"
"local-75022-7","3200 Forest Vista Rd","Flower Mound","TX","75022","598000","4","3","2800","","Three-car garage on corner lot.","local_dataset"
"local-75022-8","900 Garden Ridge Blvd","Flower Mound","TX","75022","540000","3","2","2450","","Single-story with oversized utility.","local_dataset"
"local-75022-9","2000 Lakeside Pkwy","Flower Mound","TX","75022","635000","5","4","3100","","Lake Grapevine views from back deck.","local_dataset"
"local-75022-10","5100 Churchill Dr","Flower Mound","TX","75022","562000","4","3","2700","","Community trail access and park.","local_dataset"
"local-75022-11","1800 Gerault Rd","Flower Mound","TX","75022","580000","4","3","2780","","Formal dining and study at entry.","local_dataset"
"local-75022-12","4000 Dixon Lane","Flower Mound","TX","75022","548000","4","2","2560","","Large pantry and mudroom off garage.","local_dataset"
"local-75201-1","2100 Main St","Dallas","TX","75201","450000","2","2","1400","","Uptown condo with skyline views.","local_dataset"
"local-75201-2","1800 Commerce St","Dallas","TX","75201","395000","2","2","1250","","Walk to restaurants and transit.","local_dataset"
"local-75201-3","3000 McKinney Ave","Dallas","TX","75201","480000","2","2","1500","","High-rise unit with concierge service.","local_dataset"
"local-75201-4","500 S Akard St","Dallas","TX","75201","420000","2","2","1350","","Downtown loft with exposed brick.","local_dataset"
"local-75201-5","1400 Hi Line Dr","Dallas","TX","75201","510000","2","2","1600","","Design District condo near galleries.","local_dataset"
"local-75201-6","2700 N Harwood St","Dallas","TX","75201","465000","2","2","1450","","Rooftop pool and fitness center.","local_dataset"
"local-75201-7","900 Ross Ave","Dallas","TX","75201","398000","1","1","1050","","Pied-a-terre with city views.","local_dataset"
"local-75201-8","1600 Pacific Ave","Dallas","TX","75201","440000","2","2","1380","","Hardwood floors and granite counters.","local_dataset"
"local-75201-9","3500 Fairmount St","Dallas","TX","75201","475000","2","2","1480","","Steps from Katy Trail.","local_dataset"
"local-75201-10","700 N St Paul St","Dallas","TX","75201","415000","2","2","1300","","Building has EV charging and bike storage.","local_dataset"
"local-75205-1","4400 Versailles Ave","Dallas","TX","75205","1250000","4","4","4000","","Highland Park estate with formal rooms.","local_dataset"
"local-75205-2","3100 Mockingbird Ln","Dallas","TX","75205","875000","4","3","3200","","Classic Park Cities with chef's kitchen.","local_dataset"
"local-75205-3","5500 Armstrong Ave","Dallas","TX","75205","1100000","4","4","3800","","Updated Highland Park traditional.","local_dataset"
"local-75205-4","2400 Euclid Ave","Dallas","TX","75205","950000","4","3","3400","","Mature tree-lined street near Country Club.","local_dataset"
"local-75205-5","1800 N Preston Rd","Dallas","TX","75205","825000","4","3","3100","","Pool and guest house on oversized lot.","local_dataset"
"local-75205-6","6200 Lakewood Blvd","Dallas","TX","75205","1050000","5","4","3700","","Backs to White Rock Lake.","local_dataset"
"local-75205-7","700 Beverly Dr","Dallas","TX","75205","1175000","4","4","3900","","Renovated with custom cabinetry.","local_dataset"
"local-75205-8","3800 Southwestern Blvd","Dallas","TX","75205","890000","4","3","3250","","SMU area with mature landscaping.","local_dataset"
"local-75205-9","1200 Miles St","Dallas","TX","75205","840000","4","3","3150","","Updated bathrooms and new roof.","local_dataset"
"local-75205-10","4900 Drexel Dr","Dallas","TX","75205","980000","5","4","3600","","Media room and outdoor living.","local_dataset"
"local-75230-1","6200 Preston Rd","Dallas","TX","75230","620000","4","3","2800","","North Dallas with pool.","local_dataset"
"local-75230-2","4900 Forest Ln","Dallas","TX","75230","575000","4","3","2600","","Backs to preserve with garage.","local_dataset"
"local-75230-3","3100 Walnut Hill Ln","Dallas","TX","75230","598000","4","3","2750","","Updated kitchen and new windows.","local_dataset"
"local-75230-4","5700 Royal Ln","Dallas","TX","75230","610000","4","3","2820","","Corner lot near Preston Hollow.","local_dataset"
"local-75230-5","2400 Northgate Dr","Dallas","TX","75230","555000","3","2","2400","","Single-story with pool and spa.","local_dataset"
"local-75230-6","7200 Meadow Rd","Dallas","TX","75230","590000","4","3","2700","","Close to NorthPark and Galleria.","local_dataset"
"local-75230-7","1500 Marsh Ln","Dallas","TX","75230","565000","4","3","2650","","Formal dining and living areas.","local_dataset"
"local-75230-8","4100 Wentwood Dr","Dallas","TX","75230","605000","4","3","2800","","Three-car garage on tree-lined street.","local_dataset"
"local-75230-9","900 Inwood Rd","Dallas","TX","75230","572000","3","2","2500","","Open concept with fireplace.","local_dataset"
"local-75230-10","3600 Preston Hollow Rd","Dallas","TX","75230","615000","4","3","2870","","Renovated primary bath with soaking tub.","local_dataset"
"local-78701-1","100 Congress Ave","Austin","TX","78701","720000","3","2","1800","","Downtown condo with rooftop access.","local_dataset"
"local-78701-2","500 W 6th St","Austin","TX","78701","650000","2","2","1500","","Steps from entertainment district.","local_dataset"
"local-78701-3","900 E 6th St","Austin","TX","78701","580000","2","2","1300","","East Austin loft near restaurants.","local_dataset"
"local-78701-4","1200 Brazos St","Austin","TX","78701","695000","2","2","1650","","High-rise with city views.","local_dataset"
"local-78701-5","300 W 2nd St","Austin","TX","78701","710000","3","2","1750","","Rainey Street District condo.","local_dataset"
"local-78701-6","800 Congress Ave","Austin","TX","78701","630000","2","2","1420","","Walk to Lady Bird Lake trail.","local_dataset"
"local-78701-7","1500 San Jacinto Blvd","Austin","TX","78701","660000","2","2","1550","","Historic building conversion loft.","local_dataset"
"local-78701-8","400 E Cesar Chavez St","Austin","TX","78701","598000","2","2","1380","","Trail-accessible with dog park.","local_dataset"
"local-78701-9","700 Red River St","Austin","TX","78701","645000","2","2","1480","","Near convention center and venues.","local_dataset"
"local-78701-10","200 Lavaca St","Austin","TX","78701","705000","2","2","1700","","Floor-to-ceiling windows and balcony.","local_dataset"
"local-78731-1","4200 Bull Creek Rd","Austin","TX","78731","895000","4","3","2900","","Hill Country views with pool.","local_dataset"
"local-78731-2","2000 Far West Blvd","Austin","TX","78731","750000","3","2","2200","","Near Domain with remodeled kitchen.","local_dataset"
"local-78731-3","5100 Mesa Dr","Austin","TX","78731","820000","4","3","2700","","Single-story with guest quarters.","local_dataset"
"local-78731-4","3300 cat mountain Dr","Austin","TX","78731","880000","4","3","2850","","Panoramic views from back deck.","local_dataset"
"local-78731-5","1600 Exposition Blvd","Austin","TX","78731","765000","3","2","2300","","Walkable to Shoal Creek trail.","local_dataset"
"local-78731-6","4800 Grover Ave","Austin","TX","78731","840000","4","3","2780","","Updated chef's kitchen and baths.","local_dataset"
"local-78731-7","700 Balcones Dr","Austin","TX","78731","900000","4","3","2950","","Mature trees and landscaped yard.","local_dataset"
"local-78731-8","2700 Chimney Corners Dr","Austin","TX","78731","815000","4","3","2720","","Pool and outdoor kitchen.","local_dataset"
"local-78731-9","5600 Highland Terrace","Austin","TX","78731","855000","4","3","2830","","Architectural design with high ceilings.","local_dataset"
"local-78731-10","1100 Mesa Oaks Ln","Austin","TX","78731","775000","3","2","2350","","Large lot in established neighborhood.","local_dataset"
"local-78230-1","9200 Huebner Rd","San Antonio","TX","78230","420000","4","3","2400","","Near USAA and Medical Center.","local_dataset"
"local-78230-2","4100 De Zavala Rd","San Antonio","TX","78230","385000","3","2","2050","","Remodeled bathrooms and kitchen.","local_dataset"
"local-78230-3","6500 Babcock Rd","San Antonio","TX","78230","410000","4","3","2350","","Pool on quiet interior lot.","local_dataset"
"local-78230-4","2800 Rogers Ranch Pkwy","San Antonio","TX","78230","445000","4","3","2550","","Master-planned with greenbelt access.","local_dataset"
"local-78230-5","500 Louis Pasteur Dr","San Antonio","TX","78230","398000","3","2","2100","","Near La Cantera and UTSA.","local_dataset"
"local-78230-6","3700 Vance Jackson Rd","San Antonio","TX","78230","375000","3","2","1980","","Updated kitchen with island.","local_dataset"
"local-78230-7","1500 Prue Rd","San Antonio","TX","78230","430000","4","3","2420","","Corner lot with side-entry garage.","local_dataset"
"local-78230-8","8800 Datapoint Dr","San Antonio","TX","78230","395000","3","2","2080","","Open floor plan with covered patio.","local_dataset"
"local-78230-9","4600 Medical Dr","San Antonio","TX","78230","415000","4","3","2390","","New AC and water heater.","local_dataset"
"local-78230-10","2200 Fredericksburg Rd","San Antonio","TX","78230","402000","3","2","2120","","Established neighborhood near schools.","local_dataset"
"local-77002-1","1000 Main St","Houston","TX","77002","380000","2","2","1300","","Midtown condo with rooftop pool.","local_dataset"
"local-77002-2","800 Travis St","Houston","TX","77002","350000","2","1","1100","","Downtown steps from restaurants.","local_dataset"
"local-77002-3","1200 Lamar St","Houston","TX","77002","365000","2","2","1200","","Theater District condo with concierge.","local_dataset"
"local-77002-4","500 Crawford St","Houston","TX","77002","390000","2","2","1350","","Minute Maid Park area loft.","local_dataset"
"local-77002-5","1600 Smith St","Houston","TX","77002","345000","1","1","1000","","EaDo condo with city views.","local_dataset"
"local-77002-6","900 Bagby St","Houston","TX","77002","370000","2","2","1250","","Walk to Discovery Green and GRB.","local_dataset"
"local-77002-7","300 St Emanuel St","Houston","TX","77002","358000","2","2","1180","","Historic warehouse conversion.","local_dataset"
"local-77002-8","1400 W Clay St","Houston","TX","77002","385000","2","2","1320","","Midtown walkable with parking.","local_dataset"
"local-77002-9","700 Texas Ave","Houston","TX","77002","362000","2","2","1220","","Near transit and bike lanes.","local_dataset"
"local-77002-10","2000 Milam St","Houston","TX","77002","375000","2","2","1290","","Rooftop terrace and gym.","local_dataset"
"local-77024-1","1200 Memorial Dr","Houston","TX","77024","850000","4","3","3500","","Memorial Park estate with updates.","local_dataset"
"local-77024-2","900 Piney Point Rd","Houston","TX","77024","920000","5","4","4100","","Memorial Villages pool and spa.","local_dataset"
"local-77024-3","3500 Willowick Rd","Houston","TX","77024","875000","4","3","3600","","Backs to bayou with private dock.","local_dataset"
"local-77024-4","1800 River Oaks Blvd","Houston","TX","77024","980000","5","4","4200","","River Oaks traditional with study.","local_dataset"
"local-77024-5","600 Lazy Ln","Houston","TX","77024","830000","4","3","3400","","Updated primary suite and kitchen.","local_dataset"
"local-77024-6","2400 Royal Oaks Club Dr","Houston","TX","77024","910000","4","4","4000","","Gated community with golf views.","local_dataset"
"local-77024-7","4200 Westheimer Rd","Houston","TX","77024","795000","4","3","3300","","Open floor plan with high ceilings.","local_dataset"
"local-77024-8","1100 Bering Dr","Houston","TX","77024","860000","4","3","3550","","Pool and outdoor kitchen.","local_dataset"
"local-77024-9","3100 Ella Lee Ln","Houston","TX","77024","905000","5","4","4050","","Formal rooms and media room.","local_dataset"
"local-77024-10","700 Chimney Rock Rd","Houston","TX","77024","818000","4","3","3450","","Three-car garage on corner lot.","local_dataset"
"local-77494-1","2200 Westheimer Pkwy","Katy","TX","77494","480000","4","3","2600","","Energy Corridor commuter location.","local_dataset"
"local-77494-2","5000 Grand Pkwy","Katy","TX","77494","510000","4","3","2750","","Resort amenities near schools.","local_dataset"
"local-77494-3","3800 S Mason Rd","Katy","TX","77494","465000","4","3","2520","","Community lake and walking trails.","local_dataset"
